title,pubdate,source
არ მოგვცემენ სტატუსს და თავისთვის დაიტოვონ - კალაძე ,2023-02-15 14:35:00+00,tvpirveli.ge
არ მოგვცემენ სტატუსს და თავისთვის დაიტოვონ - კალაძე ,2023-02-15 14:35:00+00,tvpirveli.ge
რუსეთის შეიარაღებული ძალების 97% უკრაინის ომშია ჩართული - დიდი ბრიტანეთი,2023-02-15 14:35:00+00,tvpirveli.ge
"„ლელო"" 20 და 24 თებერვალს დაანონსებულ აქციებს არ უერთდება",2023-02-15 14:36:00+00,ipn.ge
პერსონალურ მონაცემთა დაცვის სამსახური ამოწმებს სააკაშვილის კადრების გასაჯაროების კანონიერებას,2023-02-15 14:39:36+00,radiotavisupleba.ge
პერსონალურ მონაცემთა დაცვის სამსახურმა სააკაშვილის კადრებზე შემოწმება დაიწყო,2023-02-15 14:40:13+00,netgazeti.ge
სტოლტენბერგი: უკრაინაში ომი ახლა გამოფიტვის ომია,2023-02-15 14:40:13.082+00,imedinews.ge
"ლევან ხაბეიშვილი - ჩვენ ცოტანი კი არა, ყველაზე ვაჟკაცები, მაგრები, მამაცები, პატრიოტები და მებრძოლები ვართ - ეს ბრძოლა შედეგს გამოიღებს",2023-02-15 14:42:00+00,ipn.ge
"კახა ოქრიაშვილი Inter Rao-სთან წაგებულ დავაზე - ამ 112 მილიონ დოლარს გადაიხდით თქვენ, საქართველოს მოსახლეობა!",2023-02-15 14:43:00+00,ipn.ge
"დიდთოვლობის მიუხედავად, ქუთაისის აეროპორტში ფრენები სრულდება",2023-02-15 14:45:41+00,radiotavisupleba.ge
"სააკაშვილის პატიმრობა ივანიშვილის ვენდეტის ნაწილია, დაუწესდეს სანქციები ოლიგარქს - ევროპარლამენტმა რეზოლუცია მიიღო",2023-02-15 14:45:43+00,mtavari.tv
"ქეთი დუმბაძე გელათზე - გასაგებია, საპატრიარქო რატომაც ღელავს, ყველა ვღელავთ, მაგრამ საპატრიარქოში სპეციალისტები ხომ არ არიან? დაპირისპირებას ვხედავ და ძალიან მიკვირს",2023-02-15 14:46:00+00,ipn.ge
"პარლამენტის საფინანსო-საბიუჯეტო კომიტეტმა ""ჯანმრთელობის დაცვის შესახებ"" კანონში ცვლილებებს მხარი დაუჭირა",2023-02-15 14:49:00+00,rustavi2.ge
"წულუკიანი დღეს მთავრობის სხდომას არ დაესწრო - გავრცელებული ინფორმაციით, ის შესაძლოა ქეთი დუმბაძემ შეცვალოს ",2023-02-15 14:50:55+00,mtavari.tv
ფინანსთა მინისტრი ლაშა ხუციშვილი თანამშრომლობისა და განვითარების ორგანიზაციის (OECD) წარმომადგენლებს შეხვდა,2023-02-15 14:52:00+00,ipn.ge
ხულო-კურორტი გოდერძის მონაკვეთზე ავტოტრანსპორტის მოძრაობა აკრძალულია,2023-02-15 14:53:00+00,ipn.ge
მინდელის ხიდიდან ბალანჩინისა და ბელიაშვილის ქუჩების კვეთამდე ავტომანქანების გადაადგილება პირველ აპრილამდე ნაწილობრივ შეიზღუდება,2023-02-15 14:54:00+00,ipn.ge
საქართველოს ტექნიკური უნივერსიტეტის რექტორმა ცისანა კობახიძეს სტუ-ის ოქროს მედალი გადასცა,2023-02-15 14:55:00+00,ipn.ge
ციციშვილის სახელობის პარკის რეაბილიტაცია დაიწყო,2023-02-15 14:56:00+00,ipn.ge
"ამოქმედდა ახალი ონლაინ მედია-პლატფორმა - Business Insider Georgia, რომელსაც „ჯეოქეისის"" ეკონომიკური მიმართულების დირექტორი, გიორგი აბაშიშვილი უხელმძღვანელებს",2023-02-15 14:57:00+00,ipn.ge
"ამაყი ვარ, რომ ჩვენ ღია პარლამენტი ვართ, სადაც გვაქვს დებატები, განვიხილავთ საკითხებს, ამას მშვიდობიანად ვაკეთებთ და არა საფრთხის ქვეშ- რობერტა მეცოლა ევროპარლამენტში მომხდარ ინციდენტზე",2023-02-15 14:57:00+00,rustavi2.ge
"ოქრიაშვილი Inter Rao-სთან წაგებულ დავაზე: „ამ 112 მილიონ დოლარს გადაიხდით თქვენ, საქართველოს მოსახლეობა!“         ",2023-02-15 14:58:00+00,tvpirveli.ge
"ოქრიაშვილი Inter Rao-სთან წაგებულ დავაზე: „ამ 112 მილიონ დოლარს გადაიხდით თქვენ, საქართველოს მოსახლეობა!“         ",2023-02-15 14:58:00+00,tvpirveli.ge
"სასამართლომ სისხლის სამართლის დამნაშავედ ცნო ქალი, რომელმაც წულუკიანზე პოსტი დაწერა",2023-02-15 14:59:38+00,mtavari.tv
საღამოს თავისუფლება ,2023-02-15 15:00:00+00,radiotavisupleba.ge
"კახა კალაძე - რასაც დღეს ბიძინა ივანიშვილის წინააღმდეგ ვხედავთ, კატეგორიულად მიუღებელი და შემაშფოთებელია - ეს პირდაპირი რეკეტია",2023-02-15 15:00:00+00,ipn.ge
